pc,smartphone,latency
3.640,3.765,0.125
5.780,5.898,0.118
7.930,8.048,0.118
10.090,10.208,0.118
12.240,12.358,0.118
14.391,14.508,0.117
16.540,16.651,0.111
18.680,18.791,0.111
20.840,20.951,0.111
22.980,23.091,0.111
25.140,25.251,0.111
27.290,27.401,0.111
29.440,29.551,0.111
31.580,31.691,0.111
33.730,33.841,0.111
35.880,35.991,0.111
38.030,38.141,0.111
40.180,40.291,0.111
42.330,42.448,0.118
44.480,44.598,0.118
46.620,46.738,0.118
48.780,48.891,0.111
50.930,51.041,0.111
53.080,53.191,0.111
55.230,55.341,0.111
57.380,57.491,0.111
59.530,59.641,0.111
61.670,61.781,0.111
63.830,63.941,0.111
105.970,106.116,0.146